"pdt_id";"review_detailquestion";"response";"response_percent"
301099709;"향은 좋은가요?";"좋음";100
301099709;"향은 좋은가요?";"보통";0
301099709;"향은 좋은가요?";"좋지않음";0
301099709;"발림성은 좋나요?";"좋음";100
301099709;"발림성은 좋나요?";"보통";0
301099709;"발림성은 좋나요?";"좋지않음";0
301099709;"제품에 끈적임이 있나요?";"없음";0
301099709;"제품에 끈적임이 있나요?";"적당함";100
301099709;"제품에 끈적임이 있나요?";"심함";0
301099709;"자극도는 어떤가요?";"순함";0
301099709;"자극도는 어떤가요?";"적당함";100
301099709;"자극도는 어떤가요?";"자극적임";0
301099709;"어떤 피부타입이세요?";"건성";0
301099709;"어떤 피부타입이세요?";"지성";0
301099709;"어떤 피부타입이세요?";"복합성";100
301099709;"어떤 피부타입이세요?";"민감성";0
301094801;"향은 좋은가요?";"좋음";100
301094801;"향은 좋은가요?";"보통";0
301094801;"향은 좋은가요?";"좋지않음";0
301094801;"발림성은 좋나요?";"좋음";100
301094801;"발림성은 좋나요?";"보통";0
301094801;"발림성은 좋나요?";"좋지않음";0
301094801;"제품에 끈적임이 있나요?";"없음";100
301094801;"제품에 끈적임이 있나요?";"적당함";0
301094801;"제품에 끈적임이 있나요?";"심함";0
301094801;"자극도는 어떤가요?";"순함";100
301094801;"자극도는 어떤가요?";"적당함";0
301094801;"자극도는 어떤가요?";"자극적임";0
301094801;"어떤 피부타입이세요?";"건성";100
301094801;"어떤 피부타입이세요?";"지성";0
301094801;"어떤 피부타입이세요?";"복합성";0
301094801;"어떤 피부타입이세요?";"민감성";0
301089724;"향은 좋은가요?";"좋음";75
301089724;"향은 좋은가요?";"보통";25
301089724;"향은 좋은가요?";"좋지않음";0
301089724;"발림성은 좋나요?";"좋음";100
301089724;"발림성은 좋나요?";"보통";0
301089724;"발림성은 좋나요?";"좋지않음";0
301089724;"제품에 끈적임이 있나요?";"없음";65
301089724;"제품에 끈적임이 있나요?";"적당함";35
301089724;"제품에 끈적임이 있나요?";"심함";0
301089724;"자극도는 어떤가요?";"순함";91
301089724;"자극도는 어떤가요?";"적당함";9
301089724;"자극도는 어떤가요?";"자극적임";0
301089724;"어떤 피부타입이세요?";"건성";38
301089724;"어떤 피부타입이세요?";"지성";24
301089724;"어떤 피부타입이세요?";"복합성";38
301089724;"어떤 피부타입이세요?";"민감성";0
301084678;"발색력은 좋은가요?";"좋음";100
301084678;"발색력은 좋은가요?";"보통";0
301084678;"발색력은 좋은가요?";"좋지않음";0
301084678;"발림성은 좋나요?";"좋음";100
301084678;"발림성은 좋나요?";"보통";0
301084678;"발림성은 좋나요?";"좋지않음";0
301084678;"지속력은 좋은가요?";"좋음";100
301084678;"지속력은 좋은가요?";"보통";0
301084678;"지속력은 좋은가요?";"좋지않음";0
301086124;"향은 좋은가요?";"좋음";82
301086124;"향은 좋은가요?";"보통";18
301086124;"향은 좋은가요?";"좋지않음";0
301086124;"발림성은 좋나요?";"좋음";95
301086124;"발림성은 좋나요?";"보통";5
301086124;"발림성은 좋나요?";"좋지않음";0
301086124;"제품에 끈적임이 있나요?";"없음";71
301086124;"제품에 끈적임이 있나요?";"적당함";29
301086124;"제품에 끈적임이 있나요?";"심함";0
301086124;"자극도는 어떤가요?";"순함";82
301086124;"자극도는 어떤가요?";"적당함";18
301086124;"자극도는 어떤가요?";"자극적임";0
301086124;"어떤 피부타입이세요?";"건성";42
301086124;"어떤 피부타입이세요?";"지성";7
301086124;"어떤 피부타입이세요?";"복합성";51
301086124;"어떤 피부타입이세요?";"민감성";0
301086101;"향은 좋은가요?";"좋음";84
301086101;"향은 좋은가요?";"보통";16
301086101;"향은 좋은가요?";"좋지않음";0
301086101;"발림성은 좋나요?";"좋음";80
301086101;"발림성은 좋나요?";"보통";18
301086101;"발림성은 좋나요?";"좋지않음";2
301086101;"제품에 끈적임이 있나요?";"없음";82
301086101;"제품에 끈적임이 있나요?";"적당함";18
301086101;"제품에 끈적임이 있나요?";"심함";0
301086101;"자극도는 어떤가요?";"순함";76
301086101;"자극도는 어떤가요?";"적당함";22
301086101;"자극도는 어떤가요?";"자극적임";2
301086101;"어떤 피부타입이세요?";"건성";46
301086101;"어떤 피부타입이세요?";"지성";8
301086101;"어떤 피부타입이세요?";"복합성";46
301086101;"어떤 피부타입이세요?";"민감성";0
301077988;"발색력은 좋은가요?";"좋음";83
301077988;"발색력은 좋은가요?";"보통";17
301077988;"발색력은 좋은가요?";"좋지않음";0
301077988;"발림성은 좋나요?";"좋음";83
301077988;"발림성은 좋나요?";"보통";17
301077988;"발림성은 좋나요?";"좋지않음";0
301077988;"피부톤이 어떻게 되세요?";"13호";0
301077988;"피부톤이 어떻게 되세요?";"21호";0
301077988;"피부톤이 어떻게 되세요?";"23호";0
301077988;"어떤 피부타입이세요?";"건성";0
301077988;"어떤 피부타입이세요?";"지성";0
301077988;"어떤 피부타입이세요?";"복합성";0
301077988;"어떤 피부타입이세요?";"민감성";0
301080081;"향은 좋은가요?";"좋음";50
301080081;"향은 좋은가요?";"보통";50
301080081;"향은 좋은가요?";"좋지않음";0
301080081;"발림성은 좋나요?";"좋음";67
301080081;"발림성은 좋나요?";"보통";33
301080081;"발림성은 좋나요?";"좋지않음";0
301080081;"제품에 끈적임이 있나요?";"없음";67
301080081;"제품에 끈적임이 있나요?";"적당함";33
301080081;"제품에 끈적임이 있나요?";"심함";0
301080081;"자극도는 어떤가요?";"순함";67
301080081;"자극도는 어떤가요?";"적당함";33
301080081;"자극도는 어떤가요?";"자극적임";0
301080081;"어떤 피부타입이세요?";"건성";67
301080081;"어떤 피부타입이세요?";"지성";0
301080081;"어떤 피부타입이세요?";"복합성";33
301080081;"어떤 피부타입이세요?";"민감성";0
301080059;"향은 좋은가요?";"좋음";100
301080059;"향은 좋은가요?";"보통";0
301080059;"향은 좋은가요?";"좋지않음";0
301080059;"발림성은 좋나요?";"좋음";100
301080059;"발림성은 좋나요?";"보통";0
301080059;"발림성은 좋나요?";"좋지않음";0
301080059;"제품에 끈적임이 있나요?";"없음";50
301080059;"제품에 끈적임이 있나요?";"적당함";50
301080059;"제품에 끈적임이 있나요?";"심함";0
301080059;"자극도는 어떤가요?";"순함";50
301080059;"자극도는 어떤가요?";"적당함";50
301080059;"자극도는 어떤가요?";"자극적임";0
301080059;"어떤 피부타입이세요?";"건성";0
301080059;"어떤 피부타입이세요?";"지성";0
301080059;"어떤 피부타입이세요?";"복합성";100
301080059;"어떤 피부타입이세요?";"민감성";0
301077559;"발색력은 좋은가요?";"좋음";65
301077559;"발색력은 좋은가요?";"보통";35
301077559;"발색력은 좋은가요?";"좋지않음";0
301077559;"발림성은 좋나요?";"좋음";71
301077559;"발림성은 좋나요?";"보통";29
301077559;"발림성은 좋나요?";"좋지않음";0
301077559;"피부톤이 어떻게 되세요?";"13호";0
301077559;"피부톤이 어떻게 되세요?";"21호";0
301077559;"피부톤이 어떻게 되세요?";"23호";0
301077559;"어떤 피부타입이세요?";"건성";0
301077559;"어떤 피부타입이세요?";"지성";0
301077559;"어떤 피부타입이세요?";"복합성";0
301077559;"어떤 피부타입이세요?";"민감성";0
301073841;"향은 좋은가요?";"좋음";100
301073841;"향은 좋은가요?";"보통";0
301073841;"향은 좋은가요?";"좋지않음";0
301073841;"발림성은 좋나요?";"좋음";100
301073841;"발림성은 좋나요?";"보통";0
301073841;"발림성은 좋나요?";"좋지않음";0
301073841;"제품에 끈적임이 있나요?";"없음";0
301073841;"제품에 끈적임이 있나요?";"적당함";100
301073841;"제품에 끈적임이 있나요?";"심함";0
301073841;"자극도는 어떤가요?";"순함";0
301073841;"자극도는 어떤가요?";"적당함";100
301073841;"자극도는 어떤가요?";"자극적임";0
301073841;"어떤 피부타입이세요?";"건성";100
301073841;"어떤 피부타입이세요?";"지성";0
301073841;"어떤 피부타입이세요?";"복합성";0
301073841;"어떤 피부타입이세요?";"민감성";0
301066017;"향은 좋은가요?";"좋음";59
301066017;"향은 좋은가요?";"보통";41
301066017;"향은 좋은가요?";"좋지않음";0
301066017;"발림성은 좋나요?";"좋음";90
301066017;"발림성은 좋나요?";"보통";10
301066017;"발림성은 좋나요?";"좋지않음";0
301066017;"제품에 끈적임이 있나요?";"없음";37
301066017;"제품에 끈적임이 있나요?";"적당함";63
301066017;"제품에 끈적임이 있나요?";"심함";0
301066017;"자극도는 어떤가요?";"순함";76
301066017;"자극도는 어떤가요?";"적당함";24
301066017;"자극도는 어떤가요?";"자극적임";0
301066017;"어떤 피부타입이세요?";"건성";37
301066017;"어떤 피부타입이세요?";"지성";9
301066017;"어떤 피부타입이세요?";"복합성";52
301066017;"어떤 피부타입이세요?";"민감성";2
301065958;"향은 좋은가요?";"좋음";50
301065958;"향은 좋은가요?";"보통";50
301065958;"향은 좋은가요?";"좋지않음";0
301065958;"발림성은 좋나요?";"좋음";88
301065958;"발림성은 좋나요?";"보통";12
301065958;"발림성은 좋나요?";"좋지않음";0
301065958;"제품에 끈적임이 있나요?";"없음";38
301065958;"제품에 끈적임이 있나요?";"적당함";58
301065958;"제품에 끈적임이 있나요?";"심함";4
301065958;"자극도는 어떤가요?";"순함";81
301065958;"자극도는 어떤가요?";"적당함";19
301065958;"자극도는 어떤가요?";"자극적임";0
301065958;"어떤 피부타입이세요?";"건성";23
301065958;"어떤 피부타입이세요?";"지성";8
301065958;"어떤 피부타입이세요?";"복합성";69
301065958;"어떤 피부타입이세요?";"민감성";0
301044916;"향은 좋은가요?";"좋음";0
301044916;"향은 좋은가요?";"보통";0
301044916;"향은 좋은가요?";"좋지않음";100
301044916;"발림성은 좋나요?";"좋음";0
301044916;"발림성은 좋나요?";"보통";100
301044916;"발림성은 좋나요?";"좋지않음";0
301044916;"제품에 끈적임이 있나요?";"없음";100
301044916;"제품에 끈적임이 있나요?";"적당함";0
301044916;"제품에 끈적임이 있나요?";"심함";0
301044916;"자극도는 어떤가요?";"순함";100
301044916;"자극도는 어떤가요?";"적당함";0
301044916;"자극도는 어떤가요?";"자극적임";0
301044916;"어떤 피부타입이세요?";"건성";0
301044916;"어떤 피부타입이세요?";"지성";0
301044916;"어떤 피부타입이세요?";"복합성";100
301044916;"어떤 피부타입이세요?";"민감성";0
301070588;"향은 좋은가요?";"좋음";100
301070588;"향은 좋은가요?";"보통";0
301070588;"향은 좋은가요?";"좋지않음";0
301070588;"발림성은 좋나요?";"좋음";100
301070588;"발림성은 좋나요?";"보통";0
301070588;"발림성은 좋나요?";"좋지않음";0
301070588;"제품에 끈적임이 있나요?";"없음";100
301070588;"제품에 끈적임이 있나요?";"적당함";0
301070588;"제품에 끈적임이 있나요?";"심함";0
301070588;"자극도는 어떤가요?";"순함";100
301070588;"자극도는 어떤가요?";"적당함";0
301070588;"자극도는 어떤가요?";"자극적임";0
301070588;"어떤 피부타입이세요?";"건성";100
301070588;"어떤 피부타입이세요?";"지성";0
301070588;"어떤 피부타입이세요?";"복합성";0
301070588;"어떤 피부타입이세요?";"민감성";0
301066328;"향은 좋은가요?";"좋음";100
301066328;"향은 좋은가요?";"보통";0
301066328;"향은 좋은가요?";"좋지않음";0
301066328;"발림성은 좋나요?";"좋음";100
301066328;"발림성은 좋나요?";"보통";0
301066328;"발림성은 좋나요?";"좋지않음";0
301066328;"제품에 끈적임이 있나요?";"없음";100
301066328;"제품에 끈적임이 있나요?";"적당함";0
301066328;"제품에 끈적임이 있나요?";"심함";0
301066328;"자극도는 어떤가요?";"순함";100
301066328;"자극도는 어떤가요?";"적당함";0
301066328;"자극도는 어떤가요?";"자극적임";0
301066328;"어떤 피부타입이세요?";"건성";0
301066328;"어떤 피부타입이세요?";"지성";0
301066328;"어떤 피부타입이세요?";"복합성";100
301066328;"어떤 피부타입이세요?";"민감성";0
301037675;"향은 좋은가요?";"좋음";67
301037675;"향은 좋은가요?";"보통";33
301037675;"향은 좋은가요?";"좋지않음";0
301037675;"발림성은 좋나요?";"좋음";100
301037675;"발림성은 좋나요?";"보통";0
301037675;"발림성은 좋나요?";"좋지않음";0
301037675;"제품에 끈적임이 있나요?";"없음";67
301037675;"제품에 끈적임이 있나요?";"적당함";33
301037675;"제품에 끈적임이 있나요?";"심함";0
301037675;"자극도는 어떤가요?";"순함";100
301037675;"자극도는 어떤가요?";"적당함";0
301037675;"자극도는 어떤가요?";"자극적임";0
301037675;"어떤 피부타입이세요?";"건성";67
301037675;"어떤 피부타입이세요?";"지성";0
301037675;"어떤 피부타입이세요?";"복합성";33
301037675;"어떤 피부타입이세요?";"민감성";0
301017650;"향은 좋은가요?";"좋음";100
